#{"t_start": 1761408449.496938, "env_id": "None"}
r,l,t
50.1,50,685.323734
58.7,58,686.249786
45.1,46,687.078707
45.3,46,687.921204
44.1,46,688.803412
52.9,52,689.652632
34.1,36,690.335181
55.5,54,691.266462
46.1,46,692.120642
44.9,46,692.96719
38.9,40,693.69837
46.3,46,694.551887
46.1,46,695.375437
46.7,46,696.224176
51.7,52,697.141933
37.9,40,697.901529
66.9,64,698.864257
59.5,58,699.824973
38.1,40,700.596803
44.5,46,701.44373
38.7,40,702.315893
45.9,46,703.141033
39.3,40,703.885211
45.5,46,704.723111
48.3,48,705.534979
51.7,52,706.39956
58.68,57,707.284772
48.5,48,708.11796
60.3,58,709.039629
51.9,52,709.944448
53.1,52,710.803802
38.3,40,711.547609
36.5,38,712.243712
44.9,46,713.072347
66.1,64,713.990899
38.9,40,714.75721
57.231,56,715.647509
37.7,40,716.384271
45.1,46,717.210293
59.7,58,718.130391
38.3,40,718.855941
38.9,40,719.590402
45.7,46,720.44345
64.5,62,721.365258
33.7,36,722.044307
52.3,52,722.960782
46.1,46,723.800009
41.3,42,724.566209
45.3,46,725.440031
35.9,38,726.145658
38.9,40,726.863928
69.5,66,727.82159
59.3,58,728.781799
45.9,46,729.652093
43.9,44,730.461423
38.3,40,731.2025
39.3,40,731.962907
53.1,52,732.846348
57.1,56,733.7902
43.7,44,734.577367
67.3,64,735.521771
36.3,38,736.255486
45.5,46,737.105377
40.7,42,737.872254
57.687,56,738.76033
68.1,64,739.721926
39.3,40,740.479911
52.5,52,741.39854
46.3,46,742.228147
39.1,40,742.959716
53.1,52,743.820999
52.7,52,744.729725
38.9,40,745.470908
41.5,42,746.252614
43.3,44,747.065974
80.7,76,748.104072
34.7,36,748.781382
55.7,54,749.660341
45.7,46,750.492611
39.5,40,751.282152
59.264,57,752.226809
39.3,40,752.969944
46.1,46,753.825497
53.9,52,754.692756
52.9,52,755.609762
41.5,42,756.381212
59.5,58,757.331217
58.431,56,758.255496
46.9,46,759.094101
43.635,44,759.905667
39.1,40,760.665392
74.1,70,761.678439
45.5,46,762.506762
46.1,46,763.353662
38.9,40,764.108793
46.1,46,764.943995
38.9,40,765.702992
60.7,58,766.64463
39.1,40,767.411588
46.7,46,768.262882
39.5,40,769.021399
74.9,70,770.069148
38.7,40,770.815515
51.3,50,771.701987
35.1,36,772.39381
46.1,46,773.234962
70.5,66,774.251107
46.7,46,775.091262
53.9,52,775.959552
46.3,46,776.819415
46.5,46,777.676557
38.9,40,778.429521
53.7,52,779.317718
46.7,46,780.162359
39.1,40,780.917724
44.1,44,781.750031
60.41,58,782.686436
46.9,46,783.535191
70.1,66,784.543296
59.9,58,785.525951
46.7,46,786.373392
58.1,56,787.248553
46.9,46,788.121251
43.9,44,788.947873
58.5,56,789.89063
53.7,52,790.770463
46.5,46,791.605284
54.1,52,792.539761
39.1,40,793.318757
60.9,58,794.27214
46.9,46,795.124712
39.1,40,795.894354
38.9,40,796.648041
46.1,46,797.493056
44.1,44,798.32575
39.5,40,799.083874
45.9,46,799.941804
45.9,46,800.796878
46.3,46,801.643312
46.1,46,802.485483
63.1,60,803.468232
47.1,46,804.313508
67.9,64,805.254593
58.5,56,806.19617
34.5,36,806.846602
46.9,46,807.689684
53.5,52,808.581701
37.1,38,809.294918
74.48,70,810.260127
46.9,46,811.107687
60.7,58,812.030822
39.3,40,812.801486
53.7,52,813.737567
46.7,46,814.582252
60.636,58,815.552315
53.3,52,816.464867
39.3,40,817.213398
41.7,42,817.975516
46.7,46,818.81036
46.9,46,819.664149
47.1,46,820.487597
39.7,40,821.247906
39.5,40,821.984655
46.5,46,822.824578
68.3,64,823.76897
60.3,58,824.707282
39.7,40,825.457693
60.9,58,826.435471
32.1,36,827.128849
53.5,52,828.016594
49.5,48,828.898385
46.7,46,829.75257
39.5,40,830.489342
65.9,62,831.433971
53.7,52,832.379858
37.3,38,833.095684
54.1,52,834.072562
49.3,48,834.9467
39.9,40,835.677335
51.7,50,836.569452
42.1,42,837.318163
50.9,50,838.163046
39.5,40,838.895591
46.9,46,839.747607
46.1,46,840.56319
61.1,58,841.460449
39.3,40,842.187608
39.7,40,842.919609
51.5,50,843.797069
45.276,45,844.590413
68.1,64,845.565001
46.9,46,846.413533
46.5,46,847.243042
75.3,70,848.212237
39.9,40,848.946218
46.3,46,849.76123
46.1,46,850.589914
33.9,36,851.252063
39.7,40,851.987964
49.1,48,852.857097
53.7,52,853.742804
37.237,38,854.437477
49.1,48,855.255528
46.9,46,856.098724
47.1,46,856.962664
45.9,46,857.791492
39.5,40,858.533776
54.1,52,859.42432
44.5,44,860.221477
68.3,64,861.236717
61.3,58,862.188042
59.1,56,863.102024
53.9,52,864.015572
37.5,38,864.730443
39.7,40,865.466259
60.9,58,866.399981
45.856,45,867.210439
39.3,40,867.967654
60.7,58,868.924849
60.9,58,869.877347
46.7,46,870.693189
61.1,58,871.642296
54.3,52,872.532842
54.1,52,873.442075
46.7,46,874.249409
72.9,68,875.288137
65.7,62,876.305252
46.7,46,877.175274
39.5,40,877.913644
46.5,46,878.728009
49.3,48,879.601763
81.9,76,880.685814
51.5,50,881.593869
39.7,40,882.352685
56.3,54,883.219575
39.7,40,883.993515
37.3,38,884.712869
53.9,52,885.603357
39.5,40,886.33714
46.7,46,887.187887
34.9,36,887.880162
32.3,34,888.526758
53.7,52,889.433527
60.5,58,890.35752
51.433,50,891.227505
39.7,40,892.01623
39.7,40,892.770769
54.1,52,893.656471
82.7,76,894.686593
42.1,42,895.462903
38.9,40,896.215061
61.1,58,897.168455
46.7,46,897.970923
53.7,52,898.873089
53.9,52,899.786346
61.1,58,900.723847
61.5,58,901.63159
39.3,40,902.401699
61.3,58,903.408937
75.1,70,904.422137
39.7,40,905.235642
82.3,76,906.274147
60.7,58,907.268477
72.9,68,908.332567
39.1,40,909.093503
92.5,84,910.151131
46.3,46,910.999369
44.7,44,911.825446
39.7,40,912.637687
53.7,52,913.679777
39.5,40,914.549626
53.7,52,915.634301
39.7,40,916.49106
39.5,40,917.386168
39.7,40,918.210745
54.3,52,919.170013
39.5,40,919.973056
60.9,58,920.899982
68.7,64,921.895388
46.7,46,922.715425
54.3,52,923.684542
53.7,52,924.596208
46.9,46,925.467137
63.1,60,926.449861
52.9,52,927.380102
60.7,58,928.417202
54.3,52,929.359785
39.7,40,930.119675
53.3,52,930.994811
39.3,40,931.799334
39.006,40,932.574115
39.9,40,933.346804
53.9,52,934.258573
53.9,52,935.17256
56.5,54,936.116269
60.5,58,937.069007
39.7,40,937.830858
39.1,40,938.5952
39.7,40,939.430231
78.1,72,940.57805
68.3,64,941.655488
47.1,46,942.56984
39.9,40,943.348937
60.7,58,944.354468
39.5,40,945.112698
53.5,52,946.029135
60.5,58,946.997253
68.1,64,947.964871
82.5,76,948.980323
41.7,42,949.790413
65.5,62,950.801399
53.9,52,951.749082
46.7,46,952.630519
