timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable
91,15.0,11.833333333333318,0.3200000000000012,1.7299999999999978,0.0,0.0
92,15.0,14.199999999999989,0.2284820031298913,3.1099999999999977,0.0,5.0
93,15.0,13.566666666666656,0.24570024570024662,1.6099999999999977,4.0,0.0
94,15.0,13.199999999999987,0.24579124579124678,1.4899999999999978,3.0,0.0
95,15.0,12.899999999999986,0.2645994832041354,1.3699999999999977,0.0,5.0
96,15.0,12.399999999999986,0.2752688172043021,1.2499999999999976,0.0,0.0
97,15.0,11.899999999999984,0.2868347338935586,1.1299999999999975,0.0,0.0
98,15.0,14.066666666666656,0.19083728278041145,1.0199999999999978,0.0,0.0
99,15.0,13.566666666666656,0.1978705978705988,0.9299999999999983,0.0,0.0
100,15.0,13.066666666666656,0.20544217687074906,0.8499999999999991,0.0,0.0
101,15.0,12.566666666666654,0.21361626878868356,0.789999999999999,0.0,0.0
102,15.0,11.93333333333332,0.22197392923650017,0.7399999999999994,4.0,0.0
103,15.0,11.433333333333318,0.2316812439261431,0.6999999999999994,0.0,0.0
104,15.0,10.933333333333318,0.2422764227642289,0.6599999999999995,0.0,0.0
105,15.0,10.566666666666652,0.2540483701366991,0.6199999999999994,3.0,0.0
106,15.0,10.06666666666665,0.2666666666666677,0.5799999999999994,0.0,0.0
107,15.0,9.56666666666665,0.28060394889663276,0.5399999999999994,0.0,0.0
108,15.0,9.266666666666648,0.27242206235012123,1.2299999999999993,0.0,5.0
109,15.0,8.766666666666648,0.2879594423320673,1.1699999999999993,0.0,0.0
110,15.0,9.533333333333315,0.28251748251748365,1.1099999999999992,12.0,0.0
111,15.0,9.166666666666648,0.292848484848486,1.0499999999999992,3.0,0.0
112,15.0,8.666666666666648,0.30974358974359095,0.9999999999999996,0.0,0.0
113,15.0,8.366666666666648,0.3325365205843309,0.9599999999999995,4.0,0.0
114,15.0,7.866666666666646,0.3536723163841824,0.9199999999999995,0.0,0.0
115,15.0,7.566666666666645,0.3500734214390617,1.6299999999999994,0.0,5.0
116,15.0,9.933333333333314,0.3203579418344531,1.5699999999999994,4.0,0.0
117,15.0,9.49999999999998,0.33403508771929924,1.5099999999999993,8.0,0.0
118,15.0,9.19999999999998,0.36521739130434927,2.1799999999999993,0.0,5.0
119,15.0,8.69999999999998,0.3862068965517256,2.099999999999999,0.0,0.0
120,15.0,8.199999999999978,0.4097560975609773,2.019999999999999,0.0,0.0
121,15.0,7.899999999999978,0.44219409282700584,1.9399999999999993,4.0,0.0
122,15.0,8.733333333333315,0.3417498532002361,1.8599999999999992,0.0,0.0
123,14.0,9.071428571428552,0.38020247469066515,2.529999999999999,0.0,5.0
124,14.0,8.785714285714267,0.40824622531939725,2.429999999999999,0.0,5.0
125,14.0,8.49999999999998,0.4129651860744312,2.329999999999999,4.0,0.0
126,14.0,7.99999999999998,0.3956043956043973,2.229999999999999,0.0,0.0
127,13.0,8.576923076923055,0.40979648154536186,3.589999999999999,4.0,5.0
128,12.0,8.916666666666645,0.31775700934579554,3.449999999999999,3.0,0.0
129,11.0,9.227272727272707,0.3349753694581292,3.3099999999999987,0.0,0.0
130,11.0,8.727272727272707,0.2895833333333344,3.179999999999999,0.0,0.0
131,10.0,9.099999999999978,0.30549450549450685,3.0599999999999987,0.0,0.0
132,10.0,8.599999999999978,0.3232558139534898,2.9399999999999986,0.0,0.0
133,10.0,8.099999999999977,0.34320987654321167,2.8199999999999985,0.0,0.0
134,10.0,7.899999999999977,0.3556962025316468,3.4499999999999984,0.0,5.0
135,10.0,7.3999999999999755,0.3797297297297313,3.3099999999999983,0.0,0.0
136,10.0,7.199999999999976,0.31790123456790287,4.649999999999999,0.0,5.0
137,9.0,7.277777777777753,0.3358778625954213,4.469999999999998,4.0,0.0
138,9.0,6.777777777777752,0.2807377049180344,4.289999999999998,0.0,0.0
139,8.0,7.1249999999999725,0.3004385964912295,4.109999999999998,0.0,0.0
140,8.0,6.999999999999972,0.2397959183673486,3.929999999999998,4.0,0.0
141,7.0,7.642857142857112,0.26702269692924063,3.749999999999998,2.0,0.0
