timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std
115,11.6,10.399489601074086,0.7096521739130351,0.2834831338063415,1.9078784028338913,5.17354574143121,0.7366506175420944,0.15765534936150363
116,11.5,10.249746218384121,1.6842057103276893,0.29519074827480346,1.746424919657298,5.12127805499767,1.471013628895855,0.15795029177491954
117,11.5,9.964483592121498,2.2262057103276893,0.30989377318161204,1.746424919657298,5.202716909097678,1.9979602255610232,0.1566186033254192
118,11.4,9.91349662206714,3.2350943264817564,0.3099037150349644,1.5620499351813308,5.183574008385317,2.8300750586312837,0.16164749434986997
119,10.9,10.388496320032072,4.798266509810303,0.2763838058682301,2.118962010041709,5.030154850468247,2.9955392364705498,0.16060569876468359
120,10.9,10.621940685370944,1.1639999999999993,0.25821729469403537,2.118962010041709,5.050388386586832,0.7802973792087206,0.15876850912445065
121,10.9,10.431874740204998,2.027999999999999,0.2723446973716848,2.118962010041709,5.032118580628954,1.2913001200340681,0.1527428998878852
122,10.9,10.402026255356514,2.8333333333333326,0.275988302433707,2.118962010041709,5.040591339633128,1.6633219772491434,0.15228024011197544
123,10.8,10.460703513179551,4.466933333333332,0.27588883898372807,2.1354156504062622,5.060892190514273,2.2980178357300263,0.15241350665736336
124,10.6,10.53898530304616,5.245603547183985,0.25879141985728743,2.3748684174075834,4.710415919116873,2.371086615328613,0.17652725179434617
125,10.6,10.486230722361613,0.40800000000000003,0.24425254461072604,2.3748684174075834,4.671501844437521,0.8230285535751478,0.1809793953330408
126,10.6,10.401024397370625,1.789166036026049,0.27032773958342426,2.3748684174075834,4.6601098852500655,1.6450473865499382,0.16708450442734388
127,10.6,10.204516605162834,2.5871660360260487,0.2791584785756097,2.3748684174075834,4.696793119867813,1.7357207357857425,0.16597783545679964
128,10.6,10.35276941272311,4.291345031130365,0.2850723005595645,2.3748684174075834,4.512021314651698,1.6673236263512083,0.17141517411258855
129,10.6,10.407510699961133,5.538128406946383,0.28266541251436417,2.3748684174075834,4.505678949254191,1.3806810718469609,0.17461572176495951
130,10.6,10.520340060210199,1.5403790795043137,0.25738258612370635,2.3748684174075834,4.542579912181343,1.8929275163266652,0.16783052810090243
131,10.6,10.159209757179898,2.1787790795043134,0.27203511639744327,2.3748684174075834,4.397141457858836,2.104713261854299,0.159769953691682
132,10.6,10.023981618651758,7.9615790795042924,0.25705682076896463,2.3748684174075834,4.04184774630605,10.469050934176572,0.16019176141312286
133,10.6,9.744423872676895,10.307488429584808,0.25009616787655575,2.3748684174075834,4.094255837703036,14.479165701086375,0.16508078350941874
134,10.6,9.544983431010195,11.041036462521678,0.24679759616223995,2.3748684174075834,4.22400856402498,14.640252364083478,0.16518573510432294
135,10.6,10.057859829329967,2.1763790795043123,0.2566894011780088,2.3748684174075834,4.462573444279872,3.813023945167511,0.15403338839014
136,10.5,9.586090172743445,8.721655966370516,0.243032904401311,2.4596747752497685,4.148124861185742,16.329941195600103,0.16989151998291901
137,10.4,9.52597657441126,9.44367383402044,0.23982788078903158,2.4979991993593593,4.2474642061926495,16.465121252571816,0.15373532245576033
138,10.3,9.534617685351375,10.80403667663559,0.24165401792671282,2.4515301344262523,4.265758406478815,16.492979828254786,0.15176475215033103
139,10.3,9.412419344803032,11.762036676635589,0.24856776186739288,2.4515301344262523,4.1365909402294285,17.12269888009901,0.1607169521899347
140,10.3,10.264214079098446,3.7079469409676507,0.24331511647548573,2.4515301344262523,4.51794369376417,5.659270418172472,0.14693007383379117
141,10.3,10.055188825234403,4.713952004860587,0.2462706000091019,2.4515301344262523,4.607915019289618,5.823570770065947,0.1521565404797642
142,10.2,9.846502225960059,5.973305157055928,0.24893964083979228,2.4413111231467406,4.458982817393298,5.482852693960303,0.1490014507686934
143,10.0,9.697675296292616,6.690604980064775,0.25334675120424605,2.5298221281347035,4.42501324490187,5.467042493266407,0.15447866115193193
144,10.0,9.553122313313185,7.738471356763787,0.25585731811381773,2.5298221281347035,4.4493655283554725,5.525704066737845,0.15454688606336517
145,10.0,9.754520364046604,4.831389991571638,0.2222435315251623,2.5298221281347035,4.58363792113338,13.741527749648531,0.1544198313129819
146,9.9,9.810651950147914,6.288988711230921,0.23056842722422202,2.6627053911388696,4.335286837689925,14.033132674279745,0.14917446228127013
147,9.9,9.911847062367475,7.934911368490877,0.23734015573559458,2.6627053911388696,4.080210729717629,14.264390711689243,0.14841996215699998
