Step,Ideology_adaptive_mean,Ideology_adaptive_direct_mean,AvgEnergy_mean,CommunityPool_mean,TotalScar_mean,Renewables_mean,NonRenewables_mean,InfrastructureSites_mean,AgentsAlive_mean,GiniEnergy_mean,MinedRenewable_mean,MinedNonrenewable_mean,AvgAdaptiveEpsilon_mean,AvgAdaptiveReward_mean,Ideology_adaptive_std,Ideology_adaptive_direct_std,AvgEnergy_std,CommunityPool_std,TotalScar_std,Renewables_std,NonRenewables_std,InfrastructureSites_std,AgentsAlive_std,GiniEnergy_std,MinedRenewable_std,MinedNonrenewable_std,AvgAdaptiveEpsilon_std,AvgAdaptiveReward_std
61,0.0,12.9,13.664678521478553,0.0,2.882999999999998,100.0,100.0,0.0,12.9,0.2309349077400185,4.6,1.5,0.0,0.0,0.0,1.4491376746189437,2.8700112070687114,0.0,2.066924983856184,0.0,0.0,0.0,1.4491376746189437,0.04921061028706874,3.0983866769659336,2.41522945769824,0.0,0.0
62,0.0,12.9,13.6562985680986,0.0,2.8879999999999977,100.0,100.0,0.0,12.9,0.23566234027620672,7.0,1.0,0.0,0.0,0.0,1.4491376746189437,3.068800826790964,0.0,2.1908385000573025,0.0,0.0,0.0,1.4491376746189437,0.05133807027767346,5.436502143433364,3.162277660168379,0.0,0.0
63,0.0,12.8,13.670930469530504,0.0,2.8999999999999977,100.0,100.0,0.0,12.8,0.24328247550086987,5.4205,2.5,0.0,0.0,0.0,1.5491933384829668,3.054326483675067,0.0,2.0159365069366637,0.0,0.0,0.0,1.5491933384829668,0.0594516737474788,3.4114484134715823,2.63523138347365,0.0,0.0
64,0.0,12.8,13.489470329670363,0.0,2.766999999999998,100.0,100.0,0.0,12.8,0.25136450927889176,4.301,0.0,0.0,0.0,0.0,1.5491933384829668,3.0716683825430913,0.0,1.950373468509727,0.0,0.0,0.0,1.5491933384829668,0.06080088611942186,2.9828042361360407,0.0,0.0,0.0
65,0.0,12.7,13.487553371628405,0.0,2.8589999999999978,100.0,100.0,0.0,12.7,0.2546763821715169,5.596,2.0,0.0,0.0,0.0,1.5670212364724214,2.989351450024116,0.0,1.9315419861976701,0.0,0.0,0.0,1.5670212364724214,0.05697716795677085,5.397627462341415,2.581988897471611,0.0,0.0
66,0.0,12.6,13.66570330502834,0.0,3.019999999999998,100.0,100.0,0.0,12.6,0.2546639620169306,6.296,2.5,0.0,0.0,0.0,1.7126976771553508,3.221988561954113,0.0,1.825991359356457,0.0,0.0,0.0,1.7126976771553508,0.055516971506013084,4.269340828642181,2.6352313834736494,0.0,0.0
67,0.0,12.6,13.548460464535498,0.0,2.905999999999998,100.0,100.0,0.0,12.6,0.26462405157344526,5.0755,2.0,0.0,0.0,0.0,1.7126976771553508,3.375468804752708,0.0,1.4236978455963025,0.0,0.0,0.0,1.7126976771553508,0.049428322064527935,4.157095974889736,2.581988897471611,0.0,0.0
68,0.0,12.4,13.623164277389312,0.0,2.9119999999999977,100.0,100.0,0.0,12.4,0.26806964717086024,5.876,0.5,0.0,0.0,0.0,1.7763883459298968,3.434901926419695,0.0,1.1043731253521147,0.0,0.0,0.0,1.7763883459298968,0.04907052316807658,3.835851926234901,1.5811388300841898,0.0,0.0
69,0.0,12.4,13.614031177156212,0.0,2.844999999999998,100.0,100.0,0.0,12.4,0.2775566754108175,6.3415,2.5,0.0,0.0,0.0,1.7763883459298968,3.4088625664943892,0.0,1.2479961716465484,0.0,0.0,0.0,1.7763883459298968,0.05564129084504307,5.334958111883875,3.5355339059327378,0.0,0.0
70,0.0,12.4,13.728192016317053,0.0,2.7789999999999977,100.0,100.0,0.0,12.4,0.2872323945854229,8.0,0.5,0.0,0.0,0.0,1.7763883459298968,3.4378359697325287,0.0,1.1333769599446297,0.0,0.0,0.0,1.7763883459298968,0.06433300786446311,3.265986323710904,1.5811388300841898,0.0,0.0
